week,home_team,home_score,vis,vis_score,home_win,winner,loser,home_yards,vis_yards,point_dif
1,LAR,10,BUF,31,0,BUF,LAR,243,413,21
1,ATL,26,NO,27,0,NO,ATL,416,385,1
1,CAR,24,CLE,26,0,CLE,CAR,261,355,2
1,CHI,19,SAN,10,1,CHI,SAN,204,331,9
1,CIN,20,PIT,23,0,PIT,CIN,432,267,3
1,HOU,20,IND,20,1,HOU,IND,299,517,0
1,DET,35,PHI,38,0,PHI,DET,386,455,3
1,WAS,28,JAC,22,1,WAS,JAC,390,383,6
1,MIA,20,NE,7,1,MIA,NE,307,271,13
1,NYJ,9,BAL,24,0,BAL,NYJ,380,274,15
1,ARI,21,KAN,44,0,KAN,ARI,282,488,23
1,MIN,23,GB,7,1,MIN,GB,395,338,16
1,TEN,20,NYG,21,0,NYG,TEN,359,394,1
1,LAC,24,LVR,19,1,LAC,LVR,355,320,5
1,DAL,3,TB,19,0,TB,DAL,244,347,16
1,SEA,17,DEN,16,1,SEA,DEN,253,433,1
2,KAN,27,LAC,24,1,KAN,LAC,319,401,3
2,NYG,19,CAR,16,1,NYG,CAR,265,275,3
2,CLE,30,NYJ,31,0,NYJ,CLE,405,402,1
2,JAC,24,IND,0,1,JAC,IND,331,218,24
2,DET,36,WAS,27,1,DET,WAS,425,396,9
2,BAL,38,MIA,42,0,MIA,BAL,473,547,4
2,NO,10,TB,20,0,TB,NO,308,260,10
2,PIT,14,NE,17,0,NE,PIT,243,376,3
2,LAR,31,ATL,27,1,LAR,ATL,337,261,4
2,SAN,27,SEA,7,1,SAN,SEA,373,216,20
2,DAL,20,CIN,17,1,DAL,CIN,337,254,3
2,LVR,23,ARI,29,0,ARI,LVR,324,413,6
2,DEN,16,HOU,9,1,DEN,HOU,350,234,7
2,GB,27,CHI,10,1,GB,CHI,414,228,17
2,BUF,41,TEN,7,1,BUF,TEN,414,187,34
2,PHI,24,MIN,7,1,PHI,MIN,486,264,17
3,CLE,29,PIT,17,1,CLE,PIT,376,308,12
3,MIA,21,BUF,19,1,MIA,BUF,212,497,2
3,CAR,22,NO,14,1,CAR,NO,293,426,8
3,CHI,23,HOU,20,1,CHI,HOU,363,329,3
3,NYJ,12,CIN,27,0,CIN,NYJ,328,330,15
3,IND,20,KAN,17,1,IND,KAN,259,315,3
3,MIN,28,DET,24,1,MIN,DET,373,416,4
3,NE,26,BAL,37,0,BAL,NE,447,394,11
3,TEN,24,LVR,22,1,TEN,LVR,361,396,2
3,WAS,8,PHI,24,0,PHI,WAS,240,400,16
3,LAC,10,JAC,38,0,JAC,LAC,312,413,28
3,SEA,23,ATL,27,0,ATL,SEA,420,386,4
3,ARI,12,LAR,20,0,LAR,ARI,365,339,8
3,TB,12,GB,14,0,GB,TB,285,315,2
3,DEN,11,SAN,10,1,DEN,SAN,261,267,1
3,NYG,16,DAL,23,0,DAL,NYG,336,391,7
4,CIN,27,MIA,15,1,CIN,MIA,371,378,12
4,NO,25,MIN,28,0,MIN,NO,338,344,3
4,ATL,23,CLE,20,1,ATL,CLE,333,403,3
4,BAL,20,BUF,23,0,BUF,BAL,296,326,3
